instanceName,algorithmName,runsCount,avgTourLength,minTourLength,maxTourLength
TSPA,NN no prof.,200,39075.895,36261,43753
TSPA,NN + profit,200,47510.99,45854,49720
TSPA,GC no prof.,200,36859.625,36229,37787
TSPA,GC + profit,200,36222.275,35422,37026
